Country,State,Year,Food Grains Allocated (UOM:MT(Metrictonne)),Ration Cards Issued (UOM:Number),Transaction For Ration Cards (UOM:Number),Aadhaar Authenticated Transactions (UOM:Number),Aadhaar Authenticated Transactions (%) (UOM:%(Percentage)),Epos (Electronic Point Of Sale System) Distribution Of Food Grains (UOM:MT(Metrictonne)),Manual Distribution Of Food Grains (UOM:MT(Metrictonne)),Distribution Of Food Grains (UOM:MT(Metrictonne))
India,Maharashtra,"Calendar Year (Jan - Dec), 2020",383766,15630262,13460520,13460520,100,332852.9,243.08,333095.99
India,Mizoram,"Calendar Year (Jan - Dec), 2017",3827.96,35127,0,0,0,0,1048.98,1048.98
India,Gujarat,"Calendar Year (Jan - Dec), 2019",198288.02,6623852,6115734,5353936,87.54,160632.09,0,160632.09
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",232631,10606932,9769512,9769436,100,217268.14,0,217268.14
India,Tripura,"Calendar Year (Jan - Dec), 2020",13761.1,578858,737941,737941,100,12982.47,0,12982.47
India,Assam,"Calendar Year (Jan - Dec), 2020",135479.33,5862476,0,0,0,0,140361.81,140361.81
India,Mizoram,"Calendar Year (Jan - Dec), 2018",3827.96,144699,0,0,0,0,3858.53,3858.53
India,Odisha,"Calendar Year (Jan - Dec), 2021",179926.06,9255268,9192317,7538924,82.01,178687.62,5.68,178693.3
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020",16857.47,679239,641183,0,0,15118.51,1363.46,16481.98
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",126.85,5158,1427,0,0,38.45,0,38.45
India,Telangana,"Calendar Year (Jan - Dec), 2018",108004.23,5024406,4497948,4497948,100,112661.85,0,112661.85
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2017",16857.47,8514,111159,0,0,280.07,0,280.07
India,Haryana,"Calendar Year (Jan - Dec), 2020",66250,2699987,2469186,2469186,100,61494.01,0,61494.01
India,Delhi,"Calendar Year (Jan - Dec), 2018",37572.75,1949651,1536330,1536330,100,31654.57,233.74,31888.31
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2018",154148.03,9529516,8759319,8759319,100,142318.24,2798.34,145116.57
India,Telangana,"Calendar Year (Jan - Dec), 2020",108004.23,5343849,7577634,7577634,100,103947.83,845.09,104792.93
India,Nagaland,"Calendar Year (Jan - Dec), 2018",7632.11,284934,0,0,0,0,7632.11,7632.11
India,Meghalaya,"Calendar Year (Jan - Dec), 2018",10800.27,1551,880,0,0,20.92,10408.04,10428.96
India,Telangana,"Calendar Year (Jan - Dec), 2018",108004.23,5050908,4470775,4470775,100,92017.03,877.26,92894.29
India,Ladakh,"Calendar Year (Jan - Dec), 2018",870.4173886,7261.189537,44.52906118,1.859022692,4.17,0.031494031,0,0.031494031
India,Tripura,"Calendar Year (Jan - Dec), 2019",13761.1,578905,669701,669701,100,12848.61,551.81,13400.42
India,Assam,"Calendar Year (Jan - Dec), 2020",135479.33,5818716,0,0,0,0,139692.36,139692.36
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",16857.47,683023,637981,507887,79.61,15075.2,1854.73,16929.93
India,Meghalaya,"Calendar Year (Jan - Dec), 2018",10800.27,1051,332,0,0,6.91,11712.07,11718.98
India,West Bengal,"Calendar Year (Jan - Dec), 2019",330516.44,50620163,13478721,0,0,196975.36,130441.65,327417.01
India,Tripura,"Calendar Year (Jan - Dec), 2019",13761.1,578810,598367,595665,99.55,12747.91,681.66,13429.57
India,Mizoram,"Calendar Year (Jan - Dec), 2021",3827.96,157733,148528,97891,65.91,3734.85,0,3734.85
India,Karnataka,"Calendar Year (Jan - Dec), 2020",217403,12747508,11418197,11418196,100,228988.9,410.62,229399.51
India,Bihar,"Calendar Year (Jan - Dec), 2017",457821.73,24493,6392,0,0,179.04,49448.08,49627.11
India,West Bengal,"Calendar Year (Jan - Dec), 2020",330516.44,55407614,19372018,111753,0.58,288919.42,40304.27,329223.69
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2018",297039.11,11688815,9115856,1751149,19.21,231919.38,0,231919.38
